Numero,Codigo_Unico,Nombre,Total_Presupuesto_de_Egresos_Autorizado_PEA,PEA_Servicios_Personales,PEA_Materiales_y_Suministros,PEA_Servicios_Generales,PEA_Transferencias,PEA_Bienes_Muebles_e_Inmuebles,PEA_Obras_Publicas_y_Construcciones,PEA_Deuda_Publica_Presupuestada,PEA_FISM,PEA_FORTAMUN_DF,PEA_Otras_Aportaciones,PEA_Inversion_en_Infraestructura_y_Equipamiento_Urbano_Municipal,Total_Presupuesto_de_Egresos_Ejercido_PEE,PEE_Servicios_Personales,PEE_Materiales_y_Suministros,PEE_Servicios_Generales,PEE_Transferencias,PEE_Bienes_Muebles_e_Inmuebles,PEE_Obras_Publicas_y_Construcciones,PEE_Deuda_Publica_Presupuestada,PEE_FISM,PEE_FORTAMUN_DF,PEE_Otras_Aportaciones,PEE_Inversion_en_Infraestructura_y_Equipamiento_Urbano_Municipal,Poblacion_Total,Ejercicio
1,200100010000000000, AHUMADA ,43806446.2,17395000,4055000,4220000,3010000,211860.8,3444936.76,2140000,4198703,5130945.64,0,0,51638337.1,18824344.51,4302367.49,7635766.25,5511427.77,0,4684297.06,0,5270490.24,4623511.72,786132.06,0,11457,2012
2,200100020000000000, ALDAMA ,60159131.18,21417811.2,3302700,7080000,3946000,350000,9121963.06,0,4952846,9987810.92,0,0,62098906.24,20806458.87,3315782.58,8572809.29,4794757.1,0,5138179.18,14020,3863230.5,9674730.99,5224838.85,694098.88,22302,2012
3,200100030000000000, ALLENDE ,34694256.49,13594000,2975500,4270041.06,2092000,386000,1998568.48,2520000,3092229,3765917.95,0,0,33323527.71,11675529.36,4166624.61,4749233.4,2178832.26,0,2468243.59,0,1974835.8,3025705.12,2642429.57,442094,8409,2012
4,200100040000000000, AQUILES SERDAN ,40363181.67,16238310.76,2597569.26,9580200,2836372.82,539599,1680000,1617998.02,486578,4786553.81,0,0,43443704.89,18023549.16,4022384.66,9987998.59,3065038.23,0,374160.46,0,1483264.97,4619573.26,1867735.56,0,10688,2012
5,200100050000000000, ASCENSION ,50941939.77,12258615.71,3622000,5275600,6520000,230934.61,5401374.96,0,6896361,10737053.49,0,0,54434195.56,15398836.28,3509935.86,8543325.86,7232789.01,0,647365.61,19541.03,6123451.26,10104557.08,2822183.68,32209.89,23975,2012
6,200100060000000000, BACHINIVA ,25078459.79,4775366.66,2602202.41,4389000,5115688.05,465000,1870625.99,350000,2818588,2691988.68,0,0,26523894.01,4655793.59,2684070.83,3823222.32,4629034.72,0,4077874.8,0,1150971.21,2300396.32,2822485.82,380044.4,6011,2012
7,200100070000000000, BALLEZA ,65785917.6,11043227.86,4134793.79,2324532.38,5383255.42,2000000,1679656.71,0,31306157,7914294.44,0,0,63738509.33,13068900.92,3188214.9,3207971.24,5230157.46,0,1543234.63,0,30392265.43,7107764.75,0,0,17672,2012
8,200100080000000000, BATOPILAS ,58534646.96,8481349.32,2475897.91,2522000,1654000,75000,2031605.83,2220000,32642862,6431931.9,0,0,61493056.11,8625837.1,3253750.94,3340226.1,2053537.52,0,25642.87,0,36035514.35,5421797.91,2736749.32,0,14362,2012
9,200100090000000000, BOCOYNA ,78390083.51,19126963.33,3660000,3692491.79,6880246.96,285000,6275470.62,2500000,23087238,12882672.81,0,0,86342155.96,20577603.39,3621389.78,4166970.16,8349742.41,0,1766031.28,0,30945934.6,13355784.61,3558699.73,0,28766,2012
10,200100100000000000, BUENAVENTURA ,59325658.66,18023000,3894654,5491312.66,4094495.56,1802000,5635803.4,1650000,8712546,10021847.04,0,0,61330442.84,17747310.96,3476006.44,9471455.8,5940722.13,0,1829885.42,2360,7297829.34,10189797.52,4156512.49,1218562.74,22378,2012
11,200100110000000000, CAMARGO ,146917101.7,68761720.41,6130950,20182230,11402600,100000,3000000,3600000,11908115,21831486.27,0,0,170942353.2,73358448.9,7560029.92,22297457.18,9773327.46,12013249.34,6004028.59,0,7811400.44,21103624.66,7803796.19,3216990.52,48748,2012
12,200100120000000000, CARICHI ,37581912.14,8615691.01,3948251.51,3170310.72,2841877,1347289.27,0,0,13719707,3938785.63,0,0,45716088.58,8596445.03,4182225.72,3025729.4,2768035.01,0,1657347.02,0,19510891.25,2611968.52,3234486.18,128960.45,8795,2012
13,200100130000000000, CASAS GRANDES ,31574362.49,12168417.67,3752854.82,3595177.4,3585600,0,0,0,3730991,4741321.6,0,0,32618609.25,12297913.79,3481441.15,4564728.96,1812273.07,0,110050.97,0,2679369.04,2014044.7,5160438.41,498349.16,10587,2012
14,200100180000000000, CHIHUAHUA ,2170595749,663340929.5,90590396.96,242081558.4,277797225.1,66679661.58,590697977,239408000,0,0,0,0,2365462194,736769980,121932360,330313290,333383310,76275570,464796700,193816974,0,0,108174010,0,819543,2012
15,200100190000000000, CHINIPAS ,34286560.81,7760776,1802100,4712767.86,2320000,250000,2450000,0,11210668,3780248.95,0,0,39091577.39,6388094.08,1589666.88,5057584.98,2425852.96,0,1278067.68,0,18834734.36,3733138.21,-215561.76,0,8441,2012
16,200100140000000000, CORONADO ,15737860.48,7458743.15,1978700,1706000,1200000,30000,691136.64,895800,829924.35,947556.34,0,0,14371974.63,6013966.52,2829598.12,1489367.47,1071729.59,0,862830.03,0,664319.78,840352.4,599810.72,0,2284,2012
17,200100150000000000, COYAME DEL SOTOL ,17980753.26,8700867.4,1715796.87,1340000,915000,210000,1278907.14,2300000,767356.54,752825.31,0,0,16338578.84,9078008.67,2390094.23,1985271.03,1284076.79,0,293335.53,326,377407.31,600371.28,272088,57600,1681,2012
18,200100160000000000, CUAUHTEMOC ,389630577,145215158,37586046,40432867,39836769,4735838,111538185,10285714,0,0,0,0,473020856.9,118613321,20091341.12,44447380.3,70487826.35,0,219380988.13,0,0,0,0,0,154639,2012
19,200100170000000000, CUSIHUIRIACHI ,27621467.79,7093669,2427816,3237818.61,3412662.21,245000,5050000,0,3729876,2424625.97,0,0,27767844.14,7472794.36,2223963.37,3742213.67,3649530.29,0,3071340.12,0,2864961.99,2018628.79,2724411.55,0,5414,2012
20,200100200000000000, DELICIAS ,331666654.2,141481330.5,18311973.02,61676175.46,46924932.25,3272242.93,40000000,20000000,0,0,0,0,315176361.29,145869482.54,23589890.15,79482256.57,63183577.5,,,3051154.53,,,,,137935,2012
21,200100210000000000, DR. BELISARIO DOMINGUEZ ,20889769.43,6494466.67,2544000,2881500,3547000,625000,840686.65,0,2653443,1303673.11,0,0,17699885.34,5482478.49,2497142.62,3100660.45,3036466.21,0,2557056.63,0,77864.19,948216.75,0,0,2911,2012
22,200100220000000000, EL TULE ,16526340.37,5781509.23,958725,1645888.68,3199862,0,1780334.52,400794,1922207,837019.94,0,0,18405663.23,6676312.68,979725.22,1307063.9,3480149.81,0,996469.82,0,946065,867836.41,3151262.39,778,1869,2012
