No,Codigo_Unico,Nombre,No_Obras_Adquisiciones,Monto_Ejercido_de_Aquisiciones,No_Obras_Aeropistas,Monto_Ejercido_de_Aeropistas,No_Obras_Caminos,Monto_Ejercido_de_Caminos,No_Obras_Electrificacion_y_Alumbrado,Monto_Ejercido_de_Electrificacion_y_Alumbrado,No_Obras_Equipamiento_Urbano_y_Rural,Monto_Ejercido_de_Equipamiento_Urbano_y_Rural,No_Obras_Infraestructura_Deportiva,Monto_Ejercido_de_Infraestructura_Deportiva,No_Obras_Infraestructura_Educativa,Monto_Ejercido_de_Infraestructura_Educativa,No_Obras_Infraestructura_Hidrosanitaria,Monto_Ejercido_de_Infraestructura_Hidrosanitaria,No_Obras_Infraestructura_Productiva_Rural,Monto_Ejercido_de_Infraestructura_Productiva_Rural,No_Obras_Infraestructura_Salud,Monto_Ejercido_de_Infraestructura_Salud,No_Obras_No_especificadas,Monto_Ejercido_de_No_especificadas,No_Obras_Pavimentacion,Monto_Ejercido_de_Pavimentacion,No_Obras_Planes_de_Movilidad_Urbana,Monto_Ejercido_de_Planes_de_Movilidad_Urbana,No_Obras_Proyectos,Monto_Ejercido_de_Proyectos,No_Obras_Vivienda,Monto_Ejercido_de_Vivienda,Total_de_Obras,Total_Ejercido_en_Obras,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,Ejercicio
1,200100010000000000, AHUMADA ,NULL,NULL,NULL,NULL,1,579958.85,NULL,NULL,3,739609.56,NULL,NULL,7,1509410.73,2,326049.99,NULL,NULL,NULL,NULL,2,209457.21,7,5159038.5,NULL,NULL,NULL,NULL,2,725789.74,24,9249314.58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2012
2,200100020000000000, ALDAMA ,NULL,NULL,NULL,NULL,4,3448834.29,6,2783763.41,13,7678746.38,2,946589.55,7,3031299.73,NULL,NULL,NULL,NULL,NULL,NULL,3,1446637.22,13,7360084,NULL,NULL,NULL,NULL,1,240789.67,49,2.693674425E7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2012
3,200100030000000000, ALLENDE ,NULL,NULL,NULL,NULL,1,130353.99,1,99799.44,4,4978865.44,NULL,NULL,NULL,NULL,2,182291.4,NULL,NULL,NULL,NULL,NULL,NULL,11,6014279.12,NULL,NULL,NULL,NULL,NULL,NULL,19,1.140558939E7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2012
4,200100040000000000, AQUILES SERDAN ,NULL,NULL,NULL,NULL,1,974974.76,NULL,NULL,NULL,NULL,1,138832.83,NULL,NULL,2,929859,NULL,NULL,NULL,NULL,NULL,NULL,4,2357483.37,NULL,NULL,NULL,NULL,NULL,NULL,8,4401149.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2012
5,200100050000000000, ASCENSION ,NULL,NULL,NULL,NULL,NULL,NULL,1,495355.6,1,125725.08,NULL,NULL,7,1665365.44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,8671674.69,NULL,NULL,NULL,NULL,NULL,NULL,15,1.095812081E7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2012
6,200100060000000000, BACHINIVA ,NULL,NULL,NULL,NULL,6,4102970.47,NULL,NULL,3,491838.64,NULL,NULL,NULL,NULL,2,319853.95,NULL,NULL,NULL,NULL,NULL,NULL,3,3339668.88,NULL,NULL,NULL,NULL,NULL,NULL,14,8254331.94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2012
7,200100070000000000, BALLEZA ,NULL,NULL,NULL,NULL,10,2556928.23,10,7198038.05,10,3892821.29,1,270322.24,25,7478309.85,24,7412213.99,2,487237.22,3,559531.08,NULL,NULL,17,1.067073683E7,NULL,NULL,NULL,NULL,9,7393080.57,111,4.791921935E7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2012
8,200100080000000000, BATOPILAS ,NULL,NULL,NULL,NULL,18,7929823.15,12,1.041316489E7,3,879558,3,4676814.09,1,103054.21,4,1.524770101E7,NULL,NULL,3,676332.7,NULL,NULL,5,9433788.05,NULL,NULL,NULL,NULL,4,1605349.92,53,5.096558602E7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2012
9,200100090000000000, BOCOYNA ,NULL,NULL,NULL,NULL,3,1938508.28,22,8179040.44,9,5976984.31,NULL,NULL,3,1966445.75,13,9636701.06,NULL,NULL,3,436851.92,NULL,NULL,18,1.403212621E7,NULL,NULL,NULL,NULL,3,2029883.95,74,4.419654192E7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2012
10,200100100000000000, BUENAVENTURA ,NULL,NULL,NULL,NULL,1,531510,NULL,NULL,14,6125790.99,1,1.105292416E7,3,694281.21,1,251679.23,NULL,NULL,NULL,NULL,2,2255562.38,20,1.320044064E7,NULL,NULL,NULL,NULL,1,738787.64,43,3.485097625E7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2012
11,200100110000000000, CAMARGO ,NULL,NULL,NULL,NULL,1,1150874.38,NULL,NULL,NULL,NULL,1,3391500,3,1605433.74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,1.348329296E7,NULL,NULL,NULL,NULL,NULL,NULL,33,1.963110108E7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2012
12,200100120000000000, CARICHI,NULL,NULL,NULL,NULL,17,6976854.26,1,128960.45,NULL,NULL,NULL,NULL,2,573829.71,14,5621839.65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,1.285857757E7,38,2.616006164E7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2012
13,200100130000000000, CASAS GRANDES ,NULL,NULL,NULL,NULL,3,4138984.23,1,427001,6,8180238.48,1,1356600,4,2484033.31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1406690,NULL,NULL,NULL,NULL,1,267914,17,1.826146102E7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2012
14,200100180000000000, CHIHUAHUA ,NULL,NULL,NULL,NULL,5,4537123.92,17,1.032859388E7,77,1.090608214E8,27,3.016173109E7,33,1.372886642E7,5,2893925.42,10,3201504.56,NULL,NULL,1,1093532,141,2.038698847E8,1,124755.67,NULL,NULL,9,8000949.12,326,3.870016881E8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2012
15,200100190000000000, CHINIPAS ,NULL,NULL,NULL,NULL,7,5272411.99,4,1.060338302E7,5,2593606.23,NULL,NULL,4,734124,1,1555418.78,NULL,NULL,NULL,NULL,NULL,NULL,3,4730999.64,NULL,NULL,NULL,NULL,2,883728,26,2.637367166E7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2012
16,200100140000000000, CORONADO ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,501317.67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,956668.11,NULL,NULL,NULL,NULL,1,3221002.57,7,4678988.35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2012
